year month day hour minute second windspeed_ms
2015 4 27 12 15 5 6.193333
2015 4 27 13 15 5 6.905000
2015 4 27 14 15 5 6.673333
2015 4 27 15 15 5 7.408333
2015 4 27 16 15 5 8.340000
2015 4 27 17 15 5 7.286667
2015 4 27 18 15 5 5.683333
2015 4 27 19 15 5 4.396667
2015 4 27 20 15 5 2.610000
2015 4 27 21 15 5 2.471667
2015 4 27 22 15 5 3.301667
2015 4 27 23 15 5 4.611667
2015 4 28 0 15 5 7.046667
2015 4 28 1 15 5 9.961667
2015 4 28 2 15 5 11.530000
2015 4 28 3 15 5 10.311667
2015 4 28 4 15 5 10.981667
2015 4 28 5 15 5 11.886667
2015 4 28 6 15 5 12.440000
2015 4 28 7 15 5 12.576667
2015 4 28 8 15 5 11.293333
2015 4 28 9 15 5 11.733333
2015 4 28 10 15 5 12.178333
2015 4 28 11 15 5 10.685000
2015 4 28 12 15 5 10.550000
2015 4 28 13 15 5 9.751667
2015 4 28 14 15 5 8.051667
2015 4 28 15 15 5 7.945000
2015 4 28 16 15 5 7.111667
2015 4 28 17 15 5 5.205000
2015 4 28 18 15 5 4.853333
2015 4 28 19 15 5 5.128333
2015 4 28 20 15 5 4.853333
2015 4 28 21 15 5 1.766667
2015 4 28 22 15 5 2.196667
2015 4 28 23 15 5 4.466667
2015 4 29 0 15 5 6.113333
2015 4 29 1 15 5 7.238333
2015 4 29 2 15 5 9.401667
2015 4 29 3 15 5 9.711667
2015 4 29 4 15 5 9.681667
2015 4 29 5 15 5 12.018333
2015 4 29 6 15 5 11.906667
2015 4 29 7 15 5 13.153333
2015 4 29 8 15 5 12.401667
2015 4 29 9 15 5 12.291667
2015 4 29 10 15 5 10.991667
2015 4 29 11 15 5 9.558333
2015 4 29 12 15 5 8.738333
2015 4 29 13 15 5 6.695000
2015 4 29 14 15 5 4.658333
2015 4 29 15 15 5 3.526667
2015 4 29 16 15 5 2.696667
2015 4 29 17 15 5 1.396667
2015 4 29 18 15 5 1.353333
2015 4 29 19 15 5 2.725000
2015 4 29 20 15 5 2.660000
2015 4 29 21 15 5 3.091667
2015 4 29 22 15 5 3.376667
2015 4 29 23 15 5 6.106667
2015 4 30 0 15 5 5.543333
2015 4 30 1 15 5 4.496667
2015 4 30 2 15 5 5.936667
2015 4 30 3 15 5 7.301667
2015 4 30 4 15 5 7.205000
2015 4 30 5 15 5 6.601667
2015 4 30 6 15 5 6.333333
2015 4 30 7 15 5 4.731667
2015 4 30 8 15 5 4.390000
2015 4 30 9 15 5 3.781667
