,index,capacity_MW,depth_m,duration_hr,k_type,permeability_mD,porosity,thickness_m,RTE,kWh_in,kWh_out,kW_in_avg,kW_out_avg,kg_water_per_kWh,kg_CO2_per_kWh,kg_fuel_per_kWh,dp_well_avg,dp_pipe_f_avg,T_aquifer,T_cmp_out,errors,MWh_cushion_gas,T_store_init,T_cmp_out_avg,T_exp_out_avg,p_store_min,p_store_max,solve_time,iterations,m_dot,r_f
133,133,340.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.7045883622421864,23162445.68338931,16319989.669582872,465661.81982029247,339999.8953221718,93.41402648610998,0.0,0.0,0.5700435586500019,4.14225053129003,,,false,114509.4977643681,316.02152033,359.4245210200882,316.02152032999993,14.0235,17.34005775,129.07627773284912,42,962.8102086521575,350.15010443633514
134,134,350.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.6958990547034853,24141420.663771503,16799991.819117777,485343.2614906771,349999.91386328347,94.29478821604931,0.0,0.0,0.594595604117585,4.446513696714663,,,false,120455.40374193637,316.02152033,359.626344394351,316.02152032999993,14.0235,17.34005775,135.38591051101685,44,1000.4731191212654,358.5831040544991
135,135,360.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.6860864421284192,25186318.689654514,17279991.780097574,506350.0623546447,359999.9095879807,95.33711064289893,0.0,0.0,0.6207745372074456,4.779580116242298,,,false,126924.23340267022,316.02152033,359.8397854967713,316.02152032999993,14.0235,17.34005775,138.7995743751526,46,1040.433137887571,367.4958129422308
136,136,370.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.674689575902833,26323205.2442478,17759992.182644777,529206.2092398258,369999.9097172682,96.61247423157718,0.0,0.0,0.6492275452334104,5.151478812727045,,,false,134110.6944333901,316.02152033,360.0694761728608,316.02152032999993,14.0235,17.34005775,149.74174642562866,49,1083.6389820565837,377.1030226503158
137,137,380.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.6608125643272569,27602365.92060686,18239990.205495503,554922.6882128869,379999.88041588897,98.2616474224279,0.0,0.0,0.6812042150377314,5.5814751978133055,,,false,142387.41415831132,316.02152033,360.32450628127526,316.02152032999993,14.0235,17.34005775,162.59149050712585,53,1131.924117744823,387.8168584148906
138,138,390.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.6421776396851434,29150798.612890434,18719991.04816293,586052.6182340404,389999.88301433605,100.64818441098632,0.0,0.0,0.7198619671009163,6.1179422120917515,,,false,152687.7917993635,316.02152033,360.6281153955785,316.02152032999993,14.0235,17.34005775,187.88546013832092,63,1189.9267590842073,400.6751692513026
139,139,400.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.6032347450620941,31828386.823233154,19199988.811050765,639883.3024732703,399999.835064201,106.31332635500367,0.0,0.0,0.7865912168540344,7.085586542079983,,,false,171268.74523975252,316.02152033,361.13931721028547,316.02152032999993,14.0235,17.34005775,472.99002981185913,155,1289.131891824569,422.70346346464993
140,140,410.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.0,1296331183.4724464,0.0,1259727.4592742731,,inf,,,1.8638671660276602,21.951880708220973,,,true,12880167.66970208,316.02152033,365.91867972170235,316.02152032999993,14.0235,17.34005775,106.8736629486084,35,,inf
141,141,420.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.0,72601920.84287506,0.0,966058.7400140384,,inf,,,1.2212301934189034,13.97791754285151,,,true,476685.898609195,316.02152033,363.8739224376388,316.02152032999993,14.0235,17.34005775,85.19552278518677,28,,inf
142,142,430.0,1402.35,48.0,expected,38.33,0.2292,62.44,0.0,55318136.924680844,0.0,919379.0800756199,,inf,,,1.1456967408405654,12.879629137740489,,,true,349641.62629365845,316.02152033,363.51649184510245,316.02152032999993,14.0235,17.34005775,73.42655730247498,25,,inf
